elo1, elo2, res
1840,1575,1/2-1/2
1613,1817,0-1
1451,1354,1/2-1/2
1449,1908,0-1
1370,1759,1-0
1251,1736,0-1
1693,1393,1/2-1/2
1661,1331,0-1
2722,2678,1/2-1/2
2644,2715,1-0
2637,2688,1/2-1/2
2684,2566,1-0
2710,2566,1/2-1/2
2709,2563,1-0
2709,2556,1-0
2675,2531,0-1
2533,2644,0-1
2530,2643,1/2-1/2
2416,2271,1/2-1/2
2507,2631,0-1
2622,2509,1/2-1/2
2478,2622,0-1
2609,2501,0-1
2466,2603,1/2-1/2
2602,2375,1-0
2375,2569,0-1
2472,2432,1/2-1/2
2568,2411,1/2-1/2
2407,2565,1/2-1/2
2350,2496,0-1
2329,2468,0-1
2439,2359,1-0
2314,2435,0-1
2419,2312,1/2-1/2
2414,2131,1-0
2486,2297,1/2-1/2
2281,2485,0-1
2279,2473,0-1
2462,2280,1-0
2460,2274,0-1
2236,2441,0-1
2235,2431,0-1
2430,2226,1/2-1/2
2222,2421,1/2-1/2
2197,2411,0-1
2180,2405,0-1
2386,2212,1/2-1/2
2141,2369,1-0
2369,2133,1-0
2125,2364,0-1
2362,2071,1-0
2313,1903,1-0
2125,2307,0-1
2016,2335,0-1
2302,1991,1-0
2009,2284,0-1
2263,1990,1-0
1997,2260,0-1
2260,1985,1-0
1988,2257,0-1
1985,2223,0-1
2180,1980,1-0
1961,2169,1-0
2148,1960,1-0
1957,2136,0-1
1910,2135,0-1
2078,1894,1-0
1871,2071,1/2-1/2
1870,2069,0-1
2053,1853,0-1
1792,2046,0-1
1766,2044,1-0
2041,1734,1-0
2269,1915,1-0
1909,2204,0-1
2090,1888,1-0
1903,2075,0-1
1873,2000,1-0
1992,1872,1-0
1817,1990,0-1
1969,1809,1-0
1953,1747,1-0
1953,1479,1-0
1610,1935,0-1
1750,2072,0-1
2059,1759,1-0
2028,1731,1-0
2017,1646,1-0
1714,2008,1-0
1736,1949,1/2-1/2
1908,1623,1/2-1/2
1733,1903,0-1
1896,1557,1-0
1575,1878,0-1
1856,1542,1-0
1519,1840,1/2-1/2
1331,1978,0-1
1693,1451,1/2-1/2
1671,1693,1/2-1/2
1393,1613,1-0
1652,1759,1/2-1/2
2678,2644,1/2-1/2
2688,2684,1/2-1/2
2631,2722,1/2-1/2
2622,2709,1/2-1/2
2569,2709,0-1
2644,2602,0-1
2531,2637,1/2-1/2
2501,2715,1-0
2498,2710,0-1
2643,2496,0-1
2565,2416,1-0
2468,2622,1/2-1/2
2435,2603,1/2-1/2
2566,2466,1-0
2566,2439,1/2-1/2
2432,2530,1/2-1/2
2509,2414,0-1
2411,2675,0-1
2411,2609,1/2-1/2
2405,2568,1/2-1/2
2375,2563,1/2-1/2
2556,2375,0-1
2369,2533,1/2-1/2
2364,2507,0-1
2485,2407,1/2-1/2
2312,2478,1/2-1/2
2473,2369,1-0
2307,2472,1-0
2462,2362,1-0
2441,2313,1-0
2274,2431,1/2-1/2
2271,2419,0-1
2223,2486,0-1
2222,2430,0-1
2421,2180,1-0
2407,2148,1-0
2136,2386,0-1
2359,2125,1/2-1/2
2212,2350,1/2-1/2
2335,2124,1/2-1/2
2135,2329,0-1
2131,2314,1-0
2302,2078,1-0
2297,2075,1-0
2284,2050,1-0
2069,2263,0-1
2260,2041,1-0
1853,2260,0-1
2257,1961,1-0
2046,2235,1-0
2226,1766,1-0
2125,2460,0-1
2090,2281,1-0
2280,1992,1-0
2075,2279,0-1
2071,2269,0-1
2071,2236,0-1
2235,1969,1-0
1990,2211,1-0
2204,1953,1-0
2197,1953,1/2-1/2
1936,2180,1-0
1903,2141,1/2-1/2
2133,1935,0-1
1871,2125,1-0
2169,1873,1-0
2072,1910,0-1
1909,2059,0-1
1903,2053,1-0
2044,1896,1-0
1894,2017,0-1
2016,1878,1-0
1991,1870,1-0
1990,1856,1-0
1823,1988,1/2-1/2
1985,1792,1-0
1960,1714,1-0
1734,1957,0-1
1817,2009,0-1
1978,1736,1/2-1/2
1949,1809,1-0
1747,1909,0-1
1610,1908,0-1
1623,1903,1-0
1888,1519,1-0
1479,1840,0-1
2008,1393,1-0
1646,1811,0-1
1557,1750,1-0
1542,1733,1-0
1700,1451,0-1
1449,1693,0-1
1370,1671,0-1
1661,1354,0-1
1331,1652,0-1
1759,1575,1/2-1/2
2709,2678,0-1
2684,2602,1-0
2644,2501,1/2-1/2
2722,2622,1-0
2710,2631,0-1
2709,2531,1-0
2496,2688,1/2-1/2
2637,2566,1-0
2414,2644,0-1
2675,2468,1/2-1/2
2416,2235,1-0
2622,2462,1-0
2603,2441,0-1
2439,2569,1/2-1/2
2566,2435,1/2-1/2
2419,2565,1/2-1/2
2530,2307,1-0
2507,2432,0-1
2375,2473,0-1
2715,2407,1-0
2405,2643,1/2-1/2
2609,2375,1-0
2568,2369,1-0
2563,2312,1-0
2533,2302,1-0
2386,2509,0-1
2329,2498,0-1
2486,2284,1-0
2297,2485,1/2-1/2
2478,2274,1-0
2466,2260,1-0
2431,2257,1-0
2430,2131,1-0
2263,2421,1-0
2260,2411,0-1
2407,2226,1/2-1/2
2460,2046,1-0
2269,2556,0-1
2472,2271,1-0
2236,2411,1/2-1/2
2369,2212,1/2-1/2
2125,2364,1-0
2362,2204,1-0
2124,2359,1-0
2350,2090,1/2-1/2
1935,2335,0-1
2313,1990,1-0
1871,2280,0-1
2279,1936,1-0
2314,2016,1-0
2235,1991,1-0
2017,2223,0-1
1997,2222,1-0
1985,2197,1/2-1/2
2180,1990,1/2-1/2
1957,2169,0-1
2148,1985,1/2-1/2
2141,1980,1/2-1/2
1961,2136,1/2-1/2
1953,2135,1/2-1/2
2078,1960,0-1
2075,1903,1/2-1/2
1766,2069,1-0
2059,1903,1/2-1/2
1910,2044,0-1
2041,1853,1-0
2281,1949,1-0
1969,2211,0-1
2180,1908,1-0
1953,2133,0-1
1909,2125,1/2-1/2
1873,2075,0-1
1840,2071,0-1
