elo1, elo2, res, round
1716,1609,0-1,6
1725,1534,1/2-1/2,6
2634,2649,0-1,7
2574,2533,1-0,7
2654,2495,1/2-1/2,7
2405,2577,0-1,7
2534,2515,1-0,7
2495,2471,1-0,7
2454,2560,0-1,7
2434,2650,0-1,7
2624,2448,1-0,7
2554,2429,1-0,7
2412,2536,0-1,7
2512,2391,1/2-1/2,7
2398,2487,1/2-1/2,7
2465,2278,1-0,7
2398,2455,0-1,7
2358,2600,0-1,7
2581,2364,1-0,7
2483,2355,1-0,7
2426,2266,1-0,7
2333,2382,1/2-1/2,7
2317,2524,1/2-1/2,7
2383,2131,1-0,7
2135,2381,0-1,7
2360,2119,0-1,7
2347,2040,1-0,7
2330,2032,1/2-1/2,7
2317,2004,1-0,7
2032,2315,0-1,7
2197,1809,1-0,7
1930,2156,0-1,7
1710,2140,1-0,7
2383,2132,1-0,7
2079,2260,1/2-1/2,7
2217,2164,1-0,7
2061,2198,1/2-1/2,7
2158,1964,1-0,7
2155,2008,1/2-1/2,7
1974,2189,1/2-1/2,7
2162,1958,1-0,7
1944,2162,0-1,7
1888,2124,0-1,7
2123,1946,1-0,7
1769,2069,0-1,7
1714,2016,1/2-1/2,7
1705,1872,0-1,7
1821,2248,0-1,7
1485,1653,1/2-1/2,7
1609,1784,1/2-1/2,7
1716,1750,1-0,7
1725,1587,0-1,7
1534,1446,1/2-1/2,7
2577,2649,1-0,8
2534,2574,0-1,8
2536,2495,1-0,8
2533,2654,1/2-1/2,8
2650,2554,1-0,8
2495,2634,0-1,8
2455,2624,0-1,8
2560,2465,1-0,8
2600,2426,1-0,8
2471,2581,1-0,8
2515,2454,1-0,8
2398,2512,1/2-1/2,8
2487,2405,1/2-1/2,8
2391,2483,0-1,8
2448,2333,0-1,8
2434,2317,1-0,8
2429,2317,1-0,8
2278,2412,0-1,8
2315,2398,1/2-1/2,8
2176,2383,1/2-1/2,8
2156,2382,1-0,8
2381,2197,1-0,8
1710,2358,0-1,8
2119,2347,0-1,8
2524,2158,1-0,8
2266,2383,0-1,8
2364,2330,1/2-1/2,8
2355,2217,1/2-1/2,8
2032,2360,1-0,8
2260,2061,0-1,8
2198,1974,1-0,8
2069,2162,1/2-1/2,8
2162,2079,1-0,8
2040,2155,1/2-1/2,8
2140,2032,1-0,8
2008,2135,0-1,8
2124,1930,1-0,8
2004,2123,0-1,8
2132,1809,1-0,8
2248,2016,1-0,8
2189,1964,1/2-1/2,8
2164,1714,1/2-1/2,8
1958,1872,0-1,8
1946,1609,1-0,8
1653,1944,0-1,8
1888,1705,0-1,8
1587,1769,1/2-1/2,8
1485,1716,0-1,8
1446,1821,1/2-1/2,8
1784,1725,1/2-1/2,8
1750,1534,0-1,8
2574,2577,1/2-1/2,9
2624,2650,1/2-1/2,9
2649,2560,1-0,9
2634,2536,1-0,9
2654,2515,1-0,9
2495,2600,0-1,9
2483,2534,1-0,9
2471,2533,1/2-1/2,9
2554,2398,1/2-1/2,9
2512,2381,1/2-1/2,9
2412,2495,0-1,9
2358,2487,0-1,9
2465,2156,1-0,9
2405,2455,1/2-1/2,9
2347,2434,1/2-1/2,9
2333,2429,1/2-1/2,9
2581,2391,0-1,9
2383,2524,0-1,9
2454,2315,1-0,9
2426,2176,1/2-1/2,9
2398,2032,1-0,9
2383,2448,1/2-1/2,9
2382,2162,1-0,9
2197,2364,1-0,9
2135,2355,0-1,9
2330,2140,1-0,9
2317,2124,1-0,9
2317,2131,0-1,9
2061,2278,1/2-1/2,9
2217,2119,1-0,9
2123,2198,0-1,9
2266,1710,1-0,9
1872,2248,0-1,9
2162,2132,1-0,9
2158,2040,0-1,9
2155,2069,1/2-1/2,9
1964,2360,0-1,9
1944,2260,0-1,9
1930,2189,1/2-1/2,9
1809,2164,1-0,9
2079,1946,0-1,9
1716,2008,0-1,9
1705,2004,0-1,9
1974,1714,1/2-1/2,9
2016,1587,1-0,9
1769,1888,1/2-1/2,9
1534,1958,0-1,9
1821,1784,0-1,9
1446,1653,0-1,9
1609,1485,0-1,9
1725,1750,0-1,9
2683,2173,1-0,1
2171,2670,0-1,1
2647,2170,1-0,1
2168,2643,0-1,1
2640,2165,1-0,1
2165,2627,0-1,1
2606,2163,1-0,1
2158,2603,0-1,1
2602,2157,1-0,1
2153,2602,0-1,1
2600,2142,1-0,1
2140,2593,0-1,1
2586,2135,1-0,1
2133,2580,0-1,1
2579,2117,1-0,1
2110,2578,0-1,1
2565,2105,1-0,1
2099,2563,0-1,1
2557,2098,1-0,1
2098,2533,0-1,1
2529,2095,1-0,1
2091,2529,1-0,1
2527,2090,1-0,1
2089,2524,0-1,1
2524,2087,1-0,1
2506,2056,1-0,1
2047,2505,0-1,1
2495,2039,1-0,1
2031,2480,0-1,1
2471,2028,1-0,1
2026,2454,0-1,1
2444,2014,1-0,1
2011,2432,0-1,1
2428,2008,1-0,1
1991,2419,0-1,1
1983,2412,0-1,1
2410,1965,1-0,1
1963,2398,0-1,1
2396,1949,1-0,1
2389,1945,1-0,1
1924,2387,0-1,1
2385,1923,1-0,1
1918,2379,0-1,1
2369,1917,1-0,1
1913,2368,1/2-1/2,1
2367,1880,1-0,1
1874,2358,0-1,1
2347,1871,0-1,1
1859,2340,1-0,1
2338,1854,1-0,1
1842,2336,0-1,1
2333,1835,1-0,1
1830,2332,0-1,1
2332,1829,1-0,1
1828,2330,0-1,1
2329,1824,1-0,1
1808,2328,0-1,1
2327,1795,1-0,1
1791,2323,0-1,1
2320,1719,1-0,1
1712,2307,0-1,1
2307,1702,1-0,1
1698,2306,0-1,1
2299,1694,1-0,1
1685,2291,0-1,1
2282,1683,1-0,1
1639,2258,0-1,1
2247,1626,1-0,1
1625,2240,1/2-1/2,1
2233,1554,1-0,1
1554,2228,0-1,1
2220,1517,1-0,1
1501,2220,0-1,1
2214,1481,1-0,1
1437,2204,0-1,1
2158,2507,0-1,1
2417,1851,1-0,1
2393,2683,0-1,2
2670,2389,1-0,2
2387,2647,1-0,2
2643,2385,1-0,2
2379,2640,1/2-1/2,2
2627,2369,1-0,2
2367,2606,0-1,2
2603,2338,1-0,2
2358,2602,0-1,2
2602,2333,1-0,2
2336,2600,0-1,2
2593,2332,0-1,2
2332,2586,1/2-1/2,2
2580,2329,1-0,2
2330,2579,0-1,2
2578,2327,1/2-1/2,2
2328,2565,0-1,2
2563,2320,1-0,2
2323,2557,1-0,2
2533,2307,1-0,2
2307,2529,0-1,2
2306,2527,1/2-1/2,2
2524,2299,1-0,2
2291,2524,1/2-1/2,2
2507,2282,1-0,2
2258,2506,1/2-1/2,2
2505,2247,1-0,2
2233,2495,0-1,2
2480,2220,1-0,2
2228,2471,0-1,2
2454,2214,1-0,2
2220,2444,1/2-1/2,2
2432,2200,1-0,2
2204,2428,0-1,2
2419,2183,1/2-1/2,2
2195,2417,0-1,2
2412,2091,1-0,2
2177,2410,0-1,2
2398,1859,1-0,2
1871,2396,0-1,2
2368,1792,1-0,2
2240,1913,1-0,2
2529,1625,1-0,2
1949,2347,0-1,2
2173,1945,1-0,2
1923,2171,1/2-1/2,2
2170,1924,1-0,2
1917,2168,1/2-1/2,2
2165,1918,0-1,2
1880,2165,1-0,2
2163,1874,1-0,2
1854,2158,1/2-1/2,2
1851,2158,0-1,2
2157,1842,0-1,2
1835,2153,1/2-1/2,2
2142,1830,1-0,2
1829,2140,0-1,2
2135,1828,1-0,2
1824,2133,1/2-1/2,2
2117,1808,1-0,2
1795,2110,0-1,2
2105,1791,1-0,2
1719,2099,0-1,2
2098,1712,0-1,2
1702,2098,1/2-1/2,2
2095,1698,1-0,2
2090,1694,1/2-1/2,2
1683,2089,0-1,2
2087,1685,1-0,2
2056,1639,1-0,2
1626,2047,1/2-1/2,2
2039,1554,1-0,2
1554,2031,0-1,2
2028,1501,1-0,2
1517,2026,0-1,2
2014,1437,1-0,2
1481,2011,0-1,2
1918,2228,1/2-1/2,3
2220,1965,1-0,3
2214,1880,1-0,3
1859,2204,1/2-1/2,3
2200,1871,1-0,3
1842,2195,0-1,3
1792,2177,1-0,3
1712,2173,0-1,3
2171,1917,1-0,3
2168,1913,1/2-1/2,3
2158,1835,1-0,3
2153,1854,1-0,3
2133,1702,1-0,3
